episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.15849504194920883,True,False
2,490.0,722,1107,0.1,0.023762568715028465,0.6992812919779681,True,False
3,1160.0,552,1659,0.1,0.027421492252935845,2.177797458949499,True,False
4,920.0,714,2373,0.1,0.031123966202673152,4.088029833976179,True,False
5,1090.0,589,2962,0.1,0.03740719352139249,5.68483608396491,True,False
6,300.0,414,3376,0.1,0.03367172016386086,6.816741124959663,True,False
7,290.0,520,3896,0.1,0.03565816598442884,8.251068333978765,True,False
8,580.0,675,4571,0.1,0.03391369788524961,10.065123084001243,True,False
9,570.0,503,5074,0.1,0.0379137216424126,11.417806666984688,True,False
10,980.0,782,5856,0.1,0.038076848090431485,13.530797541956417,True,False
11,650.0,555,6411,0.1,0.041459954880258956,15.023854916973505,True,False
12,480.0,513,6924,0.1,0.039333007890413434,16.400026833987795,True,False
13,960.0,824,7748,0.1,0.03903333598282188,18.609555166971404,True,False
14,320.0,456,8204,0.1,0.03895493133377545,19.861114916973747,True,False
15,390.0,428,8632,0.1,0.038470342139513274,21.014521916978993,True,False
16,570.0,507,9139,0.1,0.044213797889709,22.36166862497339,True,False
17,700.0,592,9731,0.1,0.044961518541960094,23.938964542001486,True,False
18,1330.0,794,10525,0.1,0.046433132701090084,26.099119124992285,True,False
19,820.0,593,11118,0.1,0.04837739574911727,27.68338587495964,True,False
20,360.0,533,11651,0.1,0.04979913318844834,29.114386833971366,True,False
21,660.0,967,12618,0.1,0.05067247946742799,31.67160858400166,True,False
22,580.0,691,13309,0.1,0.04944558184717733,33.49897074996261,True,False
23,740.0,757,14066,0.1,0.04389855538608221,35.56205999996746,True,False
24,500.0,586,14652,0.1,0.04397615443180208,37.148820250004064,True,False
25,290.0,380,15032,0.1,0.03993430804265173,38.183248541958164,True,False
26,480.0,531,15563,0.1,0.04586212059736929,40.31103520898614,True,False
27,1090.0,852,16415,0.1,0.04272662172260139,42.588832499983255,True,False
28,410.0,442,16857,0.1,0.041271503398043884,43.778627208957914,True,False
29,420.0,522,17379,0.1,0.04727841814836631,45.19762279198039,True,False
30,380.0,483,17862,0.1,0.04642985879312739,46.48810224997578,True,False
31,640.0,576,18438,0.1,0.046654582246749975,48.01891749998322,True,False
32,1140.0,605,19043,0.1,0.0530208685799249,49.61852308397647,True,False
33,470.0,596,19639,0.1,0.05309292248093942,51.22552270896267,True,False
34,1270.0,675,20314,0.1,0.052258789923714376,53.032331875001546,True,False
35,740.0,600,20914,0.1,0.05031403802024821,54.63471658399794,True,False
36,900.0,791,21705,0.1,0.05990344444713132,56.77082412497839,True,False
37,550.0,548,22253,0.1,0.05965312901394863,58.24058316700393,True,False
38,640.0,578,22831,0.1,0.06129790601294695,59.80166845896747,True,False
39,250.0,398,23229,0.1,0.05430791248101741,60.88822091696784,True,False
40,670.0,633,23862,0.1,0.05648774124351861,62.58045599999605,True,False
41,890.0,870,24732,0.1,0.06247044558564218,64.8978928749566,True,False
42,330.0,374,25106,0.1,0.057459429817734865,65.94269245897885,True,False
43,660.0,538,25644,0.1,0.059034071421181715,67.38825587497558,True,False
44,430.0,486,26130,0.1,0.062164700836374244,68.68905545899179,True,False
45,850.0,911,27041,0.1,0.06207637623025987,71.16447624994908,True,False
46,1220.0,746,27787,0.1,0.06167431073063003,73.16745258396259,True,False
47,560.0,671,28458,0.1,0.05959891002359135,74.96016066696029,True,False
48,1460.0,921,29379,0.1,0.058587247540202475,77.403807374998,True,False
49,1040.0,838,30217,0.1,0.06184270317178397,79.63312195899198,True,False
50,520.0,533,30750,0.1,0.061619658065133524,81.07201549998717,True,False
51,920.0,849,31599,0.1,0.06452899221067299,84.06141666695476,True,False
52,590.0,494,32093,0.1,0.0631368612239678,85.39950208395021,True,False
53,610.0,504,32597,0.1,0.06179403601628211,86.75356170895975,True,False
54,440.0,447,33044,0.1,0.05946846233980198,87.99376124999253,True,False
55,840.0,958,34002,0.1,0.06374554880446595,90.57426404196303,True,False
56,310.0,358,34360,0.1,0.0639572111579279,91.55181370896753,True,False
57,320.0,439,34799,0.1,0.07055156119167805,92.75916879199212,True,False
58,1240.0,729,35528,0.1,0.06990496816795544,94.69422654196387,True,False
59,330.0,566,36094,0.1,0.06710409022643106,96.2214666249929,True,False
60,430.0,445,36539,0.1,0.0653458330444656,97.48299199994653,True,False
61,600.0,611,37150,0.1,0.08044706460916334,99.12864987499779,True,False
62,830.0,778,37928,0.1,0.06900944639092836,101.23482612497173,True,False
63,1030.0,792,38720,0.1,0.0713318642064214,103.39273854199564,True,False
64,490.0,645,39365,0.1,0.07375543422545798,105.10602462495444,True,False
65,2930.0,901,40266,0.1,0.07713351290259096,107.48410541698104,True,False
66,790.0,868,41134,0.1,0.07537668651991314,109.79621462494833,True,False
67,590.0,578,41712,0.1,0.061562636067512735,111.36472224997124,True,False
68,410.0,518,42230,0.1,0.06683367797238536,112.79217433399754,True,False
69,500.0,493,42723,0.1,0.06686070555351614,114.11121533397818,True,False
70,1000.0,679,43402,0.1,0.06937736281577278,115.94159549998585,True,False
71,540.0,557,43959,0.1,0.06886226522381143,117.43235833395738,True,False
72,370.0,529,44488,0.1,0.07840728001402957,118.94320574996527,True,False
73,570.0,548,45036,0.1,0.07331178669076767,120.51326379197417,True,False
74,680.0,703,45739,0.1,0.0740155840292573,122.40566316695185,True,False
75,730.0,520,46259,0.1,0.07965018206204359,123.83031345898053,True,False
76,1010.0,843,47102,0.1,0.07917198860549955,127.07608979195356,True,False
77,350.0,355,47457,0.1,0.0803116082810284,128.05841729196254,True,False
78,710.0,577,48034,0.1,0.08057059959456739,129.6252108339686,True,False
79,920.0,1025,49059,0.1,0.07763099588919431,132.38506804197095,True,False
80,630.0,558,49617,0.1,0.08171898144563394,133.9301097089774,True,False
81,250.0,392,50009,0.1,0.07406054497981558,134.9973097500042,True,False
82,750.0,739,50748,0.1,0.08247393048494249,137.01049449999118,True,False
83,290.0,352,51100,0.1,0.08157844218129123,137.9648616249906,True,False
84,1260.0,783,51883,0.1,0.08835272462799763,140.0339492499479,True,False
85,420.0,512,52395,0.1,0.08285179342783522,141.41712483396986,True,False
86,1670.0,741,53136,0.1,0.07941459488343969,143.4369166669785,True,False
87,500.0,512,53648,0.1,0.08552741207677172,144.8065989589668,True,False
88,460.0,507,54155,0.1,0.09361186269522896,146.16933841694845,True,False
89,1020.0,721,54876,0.1,0.08983353671530334,148.13019662495935,True,False
90,610.0,551,55427,0.1,0.08785697079542344,149.60927154199453,True,False
91,1160.0,770,56197,0.1,0.07802188035506041,151.7510877919849,True,False
92,730.0,609,56806,0.1,0.08197587067383881,153.3972915839986,True,False
93,1210.0,568,57374,0.1,0.08013713942893164,154.9213501669583,True,False
94,860.0,765,58139,0.1,0.09078996040473121,157.0170622089645,True,False
95,1190.0,784,58923,0.1,0.08217586821173223,159.12792324996553,True,False
96,490.0,445,59368,0.1,0.07763137536156657,160.3742320839665,True,False
97,520.0,479,59847,0.1,0.08288104037026398,161.6673612089944,True,False
98,1120.0,842,60689,0.1,0.0871322091792432,163.96264724998036,True,False
99,620.0,525,61214,0.1,0.07265613186848528,165.40205141698243,True,False
100,270.0,329,61543,0.1,0.07642541432798636,166.3197450839798,True,False
101,380.0,585,62128,0.1,0.08606983161195605,168.8572221249924,True,False
102,1160.0,831,62959,0.1,0.07918919014613986,171.10768454195932,True,False
103,1960.0,966,63925,0.1,0.10091061558389713,173.761124541983,True,False
104,570.0,560,64485,0.1,0.08560991090323244,175.28854458394926,True,False
105,540.0,772,65257,0.1,0.0919844709539429,177.41465829196386,True,False
106,1480.0,673,65930,0.1,0.0800103397840368,179.2540849999641,True,False
107,450.0,435,66365,0.1,0.09737972874160207,180.4555596249993,True,False
108,1390.0,760,67125,0.1,0.08078772931506759,182.51915283396374,True,False
109,1130.0,973,68098,0.1,0.08203259587226581,185.15544812497683,True,False
110,380.0,508,68606,0.1,0.08773621611707792,186.54816074995324,True,False
111,890.0,629,69235,0.1,0.09325086394218123,188.2885853749467,True,False
112,1000.0,1050,70285,0.1,0.09261786219568308,191.1494089589687,True,False
113,1060.0,619,70904,0.1,0.0913759255841855,192.84588637499837,True,False
114,1190.0,819,71723,0.1,0.08217257639740173,195.05338833399583,True,False
115,390.0,542,72265,0.1,0.07522820101311321,196.51450195896905,True,False
116,600.0,595,72860,0.1,0.09182230053757061,198.14467474998673,True,False
117,350.0,371,73231,0.1,0.09269899393067411,199.15541399997892,True,False
118,290.0,427,73658,0.1,0.09403114346352136,200.34301299997605,True,False
119,520.0,499,74157,0.1,0.10751787792146206,201.72151599999052,True,False
120,900.0,838,74995,0.1,0.09036685791062682,204.00439758395078,True,False
121,860.0,644,75639,0.1,0.09427569400495994,205.75287954194937,True,False
122,1150.0,851,76490,0.1,0.09475117713702677,208.0783099999535,True,False
123,740.0,764,77254,0.1,0.09982196775542972,210.1734808749752,True,False
124,970.0,744,77998,0.1,0.10641682867501531,212.36161574994912,True,False
125,1000.0,829,78827,0.1,0.09971080688930652,214.6492242499953,True,False
126,520.0,555,79382,0.1,0.10052735574221869,217.10124937497312,True,False
127,1650.0,923,80305,0.1,0.09028784423921403,219.60339537495747,True,False
128,940.0,639,80944,0.1,0.09405241123167798,221.3908576669637,True,False
129,500.0,560,81504,0.1,0.10128006537311844,222.9415617499617,True,False
130,830.0,665,82169,0.1,0.1037253504955625,224.81515562499408,True,False
131,520.0,484,82653,0.1,0.08038249555667323,226.15292908396805,True,False
132,460.0,434,83087,0.1,0.08709347398986143,227.32400379196042,True,False
133,340.0,334,83421,0.1,0.08680061313013236,228.34943170897895,True,False
134,230.0,311,83732,0.1,0.10369188042405324,229.25388129195198,True,False
135,1400.0,1111,84843,0.1,0.10631142348212455,232.21318124997197,True,False
136,600.0,728,85571,0.1,0.11016965065161688,234.33919524995144,True,False
137,520.0,450,86021,0.1,0.1293334585111753,235.76959699997678,True,False
138,1060.0,932,86953,0.1,0.10734069579212963,238.34454483399168,True,False
139,950.0,810,87763,0.1,0.09082162480727576,240.58164533396484,True,False
140,290.0,376,88139,0.1,0.09113571011124456,241.61141420895,True,False
141,1000.0,619,88758,0.1,0.09876090214858133,243.3417236249661,True,False
